item_id,category,language,condition,text,adequacy_score
E07,everyday,classical_latin,base,Mercator senex nummos bis numeravit.,
E07,everyday,attic_greek,base,Ὁ γέρων ἔμπορος τὰ νομίσματα δίς ἠρίθμησεν.,
E08,everyday,english,base,They planted three trees behind the house.,
E08,everyday,modern_standard_chinese,base,他們在屋後種了三棵樹.,
E08,everyday,classical_chinese,base,眾植三樹於屋後.,
E08,everyday,classical_latin,base,Tres arbores post domum plantaverunt.,
E08,everyday,attic_greek,base,Τρία δένδρα ὄπισθεν τῆς οἰκίας ἐφύτευσαν.,
E09,everyday,english,base,I forgot the key at home.,
E09,everyday,modern_standard_chinese,base,我把鑰匙忘在家裡了.,
E09,everyday,classical_chinese,base,吾遺鑰於家.,
E09,everyday,classical_latin,base,Clavem domi oblitus sum.,
E09,everyday,attic_greek,base,Ἐπελαθόμην τῆς κλειδὸς οἴκοι.,
E10,everyday,english,base,The teacher praised the careful student.,
E10,everyday,modern_standard_chinese,base,老師稱讚了認真的學生.,
E10,everyday,classical_chinese,base,師譽勤學者.,
E10,everyday,classical_latin,base,Magister discipulum diligentem laudavit.,
E10,everyday,attic_greek,base,Ὁ διδάσκαλος τὸν ἐπιμελῆ μαθητὴν ἐπῄνεσεν.,
E11,everyday,english,base,Our neighbour sold a blue cloak yesterday.,
E11,everyday,modern_standard_chinese,base,我們的鄰居昨天賣了一件藍色斗篷.,
E11,everyday,classical_chinese,base,鄰人昨售青衣.,
E11,everyday,classical_latin,base,Vicinus noster heri pallium caeruleum vendidit.,
E11,everyday,attic_greek,base,Ὁ γείτων ἡμῶν χλαμύδα κυανῆν χθὲς ἀπέδοτο.,
E12,everyday,english,base,The boat crossed the lake before dark.,
E12,everyday,modern_standard_chinese,base,船在天黑前渡過了湖.,
E12,everyday,classical_chinese,base,舟昏前濟湖.,
E12,everyday,classical_latin,base,Navis lacum ante noctem transiit.,
E12,everyday,attic_greek,base,Πλοῖον τὴν λίμνην πρὸ νυκτὸς διέπλευσεν.,
E13,everyday,english,base,He placed the cup near the window.,
E13,everyday,modern_standard_chinese,base,他把杯子放在窗邊.,
E13,everyday,classical_chinese,base,彼置杯於牖旁.,
E13,everyday,classical_latin,base,Ille poculum prope fenestram posuit.,
E13,everyday,attic_greek,base,Ἐκεῖνος ποτήριον παρὰ τῇ θυρίδι ἔθηκεν.,
E14,everyday,english,base,Many people gathered in the market.,
E14,everyday,modern_standard_chinese,base,許多人聚集在市場.,
E14,everyday,classical_chinese,base,眾集於市.,
E14,everyday,classical_latin,base,Multi homines in foro congregati sunt.,
E14,everyday,attic_greek,base,Πολλοὶ ἄνθρωποι ἐν ἀγορᾷ συνήχθησαν.,
E15,everyday,english,base,The small lamp burned all night.,
E15,everyday,modern_standard_chinese,base,小燈整夜燃著.,
E15,everyday,classical_chinese,base,小燈竟夜燃.,
E15,everyday,classical_latin,base,Lucerna parva tota nocte arsit.,
E15,everyday,attic_greek,base,Ὁ μικρὸς λύχνος διὰ πάσης νυκτὸς ἔκαιεν.,
I01,instruction,english,base,Close the door before leaving the room.,
I01,instruction,modern_standard_chinese,base,離開房間前關門.,
I01,instruction,classical_chinese,base,出室先闔門.,
I01,instruction,classical_latin,base,Ante discessum e cubiculo ianuam claude.,
I01,instruction,attic_greek,base,Πρὶν ἐξέλθῃς ἐκ τοῦ οἰκήματος τὴν θύραν κλεῖε.,
I02,instruction,english,base,Read the whole message before replying.,
I02,instruction,modern_standard_chinese,base,回覆前讀完整條訊息.,
I02,instruction,classical_chinese,base,答前盡讀其書.,
I02,instruction,classical_latin,base,Totum nuntium lege antequam respondeas.,
I02,instruction,attic_greek,base,Ὅλον τὸ γράμμα ἀνάγνωθι πρὶν ἀποκρίνεσθαι.,
I03,instruction,english,base,Put the clean plates on the shelf.,
I03,instruction,modern_standard_chinese,base,把乾淨的盤子放在架子上.,
I03,instruction,classical_chinese,base,置淨盤於架.,
I03,instruction,classical_latin,base,Patinas mundas in pluteo pone.,
I03,instruction,attic_greek,base,Τὰ καθαρὰ πινάκια ἐπὶ τὴν ἐσχάραν τίθει.,
I04,instruction,english,base,If rain starts go under a roof.,
I04,instruction,modern_standard_chinese,base,如果開始下雨就到屋簷下.,
I04,instruction,classical_chinese,base,雨作則就簷.,
I04,instruction,classical_latin,base,Si pluvia incipit sub tectum i.,
I04,instruction,attic_greek,base,Ἂν ὑετὸς ἄρχηται ὑπὸ στέγην ἴθι.,
I05,instruction,english,base,Do not move the box without help.,
I05,instruction,modern_standard_chinese,base,沒有幫助不要搬箱子.,
I05,instruction,classical_chinese,base,無助勿移箱.,
I05,instruction,classical_latin,base,Arcam sine auxilio ne moveas.,
I05,instruction,attic_greek,base,Μὴ κίνει τὴν κιβωτὸν ἄνευ βοηθείας.,
I06,instruction,english,base,Write the date at the top of the page.,
I06,instruction,modern_standard_chinese,base,在頁面頂端寫下日期.,
I06,instruction,classical_chinese,base,書日於頁首.,
I06,instruction,classical_latin,base,Diem in summa pagina scribe.,
I06,instruction,attic_greek,base,Τὴν ἡμέραν ἐν ἄκρᾳ σελίδι γράφε.,
I07,instruction,english,base,Turn left after the bridge.,
I07,instruction,modern_standard_chinese,base,過橋後左轉.,
I07,instruction,classical_chinese,base,過橋左行.,
I07,instruction,classical_latin,base,Post pontem ad laevam verte.,
I07,instruction,attic_greek,base,Μετὰ τὴν γέφυραν ἐπ᾽ ἀριστερὰ στρέφου.,
I08,instruction,english,base,Give each guest a cup of water.,
I08,instruction,modern_standard_chinese,base,給每位客人一杯水.,
I08,instruction,classical_chinese,base,賓各與一杯水.,
I08,instruction,classical_latin,base,Cuique hospiti poculum aquae da.,
I08,instruction,attic_greek,base,Ἑκάστῳ ξένῳ ποτήριον ὕδατος δίδου.,
I09,instruction,english,base,Check the numbers twice before sending the report.,
I09,instruction,modern_standard_chinese,base,寄送報告前核對數字兩次.,
I09,instruction,classical_chinese,base,發報前再校數.,
I09,instruction,classical_latin,base,Numeros bis examina antequam relationem mittas.,
I09,instruction,attic_greek,base,Τοὺς ἀριθμοὺς δίς ἐξέταζε πρὶν τὸν λόγον πέμπειν.,
I10,instruction,english,base,Keep medicine away from children.,
I10,instruction,modern_standard_chinese,base,讓藥物遠離兒童.,
I10,instruction,classical_chinese,base,藥遠童.,
I10,instruction,classical_latin,base,Medicamentum procul a pueris serva.,
I10,instruction,attic_greek,base,Τὸ φάρμακον πόρρω τῶν παίδων φύλαττε.,
I11,instruction,english,base,Wait here until the guard returns.,
I11,instruction,modern_standard_chinese,base,在此等待直到守衛回來.,
I11,instruction,classical_chinese,base,待此至衛返.,
I11,instruction,classical_latin,base,Hic exspecta donec custos redeat.,
I11,instruction,attic_greek,base,Ἐνθάδε μένε μέχρι ἂν ὁ φύλαξ ἐπανέλθῃ.,
I12,instruction,english,base,Use a pencil to mark the answer.,
I12,instruction,modern_standard_chinese,base,用鉛筆標記答案.,
I12,instruction,classical_chinese,base,以鉛筆識答.,
I12,instruction,classical_latin,base,Stilo plumbeo responsum nota.,
I12,instruction,attic_greek,base,Μολυβδίῳ τὴν ἀπόκρισιν σημεῖου.,
I13,instruction,english,base,If the flag is red stop.,
I13,instruction,modern_standard_chinese,base,如果旗子是紅色就停下.,
I13,instruction,classical_chinese,base,旗赤則止.,
I13,instruction,classical_latin,base,Si vexillum rubrum est consiste.,
I13,instruction,attic_greek,base,Ἂν τὸ σημεῖον ἐρυθρὸν ᾖ στῆθι.,
I14,instruction,english,base,Tell me immediately if a problem occurs.,
I14,instruction,modern_standard_chinese,base,如果出現問題立即告訴我.,
I14,instruction,classical_chinese,base,有患即告我.,
I14,instruction,classical_latin,base,Si difficultas oritur statim mihi dic.,
I14,instruction,attic_greek,base,Ἂν δυσχέρεια γένηται εὐθὺς μοι φράζε.,
I15,instruction,english,base,Wash your hands before the meal.,
I15,instruction,modern_standard_chinese,base,用餐前洗手.,
I15,instruction,classical_chinese,base,食前盥手.,
I15,instruction,classical_latin,base,Manus lava ante cibum.,
I15,instruction,attic_greek,base,Τὰς χεῖρας πλῦνον πρὸ τοῦ δείπνου.,
R01,reasoning,english,base,If the road is wet the carriage will travel slowly.,
R01,reasoning,modern_standard_chinese,base,如果道路濕了車就會走得慢.,
R01,reasoning,classical_chinese,base,道濕則車徐行.,
R01,reasoning,classical_latin,base,Si via umida est currus lente procedet.,
R01,reasoning,attic_greek,base,Ἂν ἡ ὁδὸς ὑγρὰ ᾖ τὸ ἅρμα βραδέως πορεύσεται.,
R02,reasoning,english,base,The jar broke because it fell from the table.,
R02,reasoning,modern_standard_chinese,base,罐子因為從桌上掉下來而碎了.,
R02,reasoning,classical_chinese,base,罌墮幾故碎.,
R02,reasoning,classical_latin,base,Urceus fractus est quod de mensa cecidit.,
R02,reasoning,attic_greek,base,Ἡ χύτρα συνέτριβη ὅτι ἀπὸ τῆς τραπέζης ἔπεσεν.,
R03,reasoning,english,base,If all gates are closed no visitor may enter.,
R03,reasoning,modern_standard_chinese,base,如果所有大門都關上就沒有訪客能進來.,
R03,reasoning,classical_chinese,base,諸門皆閉則客不得入.,
R03,reasoning,classical_latin,base,Si omnes portae clausae sunt nullus hospes intrare potest.,
R03,reasoning,attic_greek,base,Ἂν πᾶσαι αἱ πύλαι κεκλεισμέναι ὦσιν οὐδεὶς ξένος εἰσελθεῖν δύναται.,
R04,reasoning,english,base,The lamp is dim because the oil is nearly gone.,
R04,reasoning,modern_standard_chinese,base,燈光昏暗因為油快用完了.,
R04,reasoning,classical_chinese,base,燈昏以油將竭.,
R04,reasoning,classical_latin,base,Lucerna obscura est quod oleum paene defecit.,
R04,reasoning,attic_greek,base,Ὁ λύχνος ἀμαυρός ἐστιν ὅτι τὸ ἔλαιον σχεδὸν ἐκλέλοιπεν.,
R05,reasoning,english,base,If the price rises fewer buyers may come.,
R05,reasoning,modern_standard_chinese,base,如果價格上升就可能有較少買家來.,
R05,reasoning,classical_chinese,base,價升則買者或少.,
R05,reasoning,classical_latin,base,Si pretium crescit pauciores emptores venire possunt.,
R05,reasoning,attic_greek,base,Ἂν ἡ τιμὴ αὔξηται ἐλάττους ἀγορασταὶ ἥξουσιν.,
R06,reasoning,english,base,Every metal in this box is heavy. This coin is in the box. Therefore this coin is heavy.,
R06,reasoning,modern_standard_chinese,base,這個盒中的每塊金屬都很重.這枚硬幣在盒中.因此這枚硬幣很重.,
R06,reasoning,classical_chinese,base,此匣之金皆重.此錢在匣.故此錢重.,
R06,reasoning,classical_latin,base,Omne metallum in hac arca grave est. Hic nummus in arca est. Igitur hic nummus gravis est.,
R06,reasoning,attic_greek,base,Πᾶν μέταλλον ἐν τῇ κιβωτῷ βαρύ ἐστιν. Τοῦτο τὸ νόμισμα ἐν τῇ κιβωτῷ ἐστιν. Οὖν τοῦτο τὸ νόμισμα βαρύ ἐστιν.,
R07,reasoning,english,base,The garden needs water because the leaves are dry.,
R07,reasoning,modern_standard_chinese,base,花園需要水因為葉子乾了.,
R07,reasoning,classical_chinese,base,園須水以葉枯.,
R07,reasoning,classical_latin,base,Hortus aquam eget quod folia arida sunt.,
R07,reasoning,attic_greek,base,Ὁ κῆπος ὕδατος δεῖται ὅτι τὰ φύλλα ξηρὰ ἐστιν.,
R08,reasoning,english,base,If you leave now you will arrive before noon.,
R08,reasoning,modern_standard_chinese,base,如果你現在離開就會在中午前到達.,
R08,reasoning,classical_chinese,base,今去則午前至.,
R08,reasoning,classical_latin,base,Si nunc discedis ante meridiem pervenies.,
R08,reasoning,attic_greek,base,Ἂν νῦν ἀπίῃς πρὸ μεσημβρίας ἀφίξῃ.,
R09,reasoning,english,base,The map is useful because it shows the shortest path.,
R09,reasoning,modern_standard_chinese,base,地圖很有用因為它顯示最短的路徑.,
R09,reasoning,classical_chinese,base,圖有用以示最短途.,
R09,reasoning,classical_latin,base,Tabula utilis est quod viam brevissimam ostendit.,
R09,reasoning,attic_greek,base,Ὁ χάρτης χρήσιμος ἐστὶν ὅτι τὴν βραχυτάτην ὁδὸν δείκνυσιν.,
R10,reasoning,english,base,Because it snowed during the night the roof is white.,
R10,reasoning,modern_standard_chinese,base,因為夜裡下雪屋頂是白色的.,
R10,reasoning,classical_chinese,base,夜雪故屋頂白.,
R10,reasoning,classical_latin,base,Quia nocte ninxit tectum album est.,
R10,reasoning,attic_greek,base,Ἐπειδὴ νυκτὸς ἔνιψεν ἡ στέγη λευκή ἐστιν.,
R11,reasoning,english,base,If one witness disagrees the judge must examine the evidence again.,
R11,reasoning,modern_standard_chinese,base,如果一位證人不同意法官必須再次檢驗證據.,
R11,reasoning,classical_chinese,base,一證異言則判官必再察證.,
R11,reasoning,classical_latin,base,Si unus testis dissentit iudex testimonia iterum examinare debet.,
R11,reasoning,attic_greek,base,Ἂν εἷς μάρτυς ἀντιλέγῃ ὁ δικαστὴς τὰ τεκμήρια πάλιν ἐξετάζειν δεῖ.,
R12,reasoning,english,base,The room is quiet because everyone has left.,
R12,reasoning,modern_standard_chinese,base,房間很安靜因為所有人都離開了.,
R12,reasoning,classical_chinese,base,室寂以眾皆去.,
R12,reasoning,classical_latin,base,Cubiculum quietum est quod omnes discesserunt.,
R12,reasoning,attic_greek,base,Τὸ οἴκημα ἥσυχόν ἐστιν ὅτι πάντες ἀπελήλυθαν.,
R13,reasoning,english,base,If the message is unclear ask the speaker to explain it.,
R13,reasoning,modern_standard_chinese,base,如果訊息不清楚請要求說話的人解釋它.,
R13,reasoning,classical_chinese,base,書不明則請言者釋之.,
R13,reasoning,classical_latin,base,Si nuntius obscurus est roga dicentem ut eum explicet.,
R13,reasoning,attic_greek,base,Ἂν τὸ γράμμα ἀσαφὲς ᾖ τὸν λέγοντα κέλευε αὐτὸ σαφηνίζειν.,
R14,reasoning,english,base,Because the river is shallow the boat cannot pass here.,
R14,reasoning,modern_standard_chinese,base,因為河淺船不能從這裡通過.,
R14,reasoning,classical_chinese,base,河淺故舟不得過此.,
R14,reasoning,classical_latin,base,Quia flumen vadosum est navis hic transire non potest.,
R14,reasoning,attic_greek,base,Ἐπειδὴ ὁ ποταμὸς ρηχὸς ἐστιν τὸ πλοῖον ἐνθάδε διελθεῖν οὐ δύναται.,
R15,reasoning,english,base,If two quantities equal the same number they equal each other.,
R15,reasoning,modern_standard_chinese,base,如果兩個量等於同一個數它們彼此相等.,
R15,reasoning,classical_chinese,base,二量同等一數則相等.,
R15,reasoning,classical_latin,base,Si duae quantitates eidem numero aequales sunt inter se aequales sunt.,
R15,reasoning,attic_greek,base,Ἂν δύο ποσὰ τῷ αὐτῷ ἀριθμῷ ἴσα ᾖ ἀλλήλοις ἴσα ἐστίν.,
